ConstituentID;Name;ArtistBio;Nationality;Gender;Born;Died
15;Folke Arstrom;Swedish, 1907–1997;Swedish;male;1907;1997
26;Göran Åslin;Swedish, born 1940;Swedish;;1940;0
27;Erik Gunnar Asplund;Swedish, 1885–1940;Swedish;male;1885;1940
170;Monika Andersson;Swedish, born 1957;Swedish;female;1957;0
270;Olof Backman;Swedish, born 1899;Swedish;male;1899;0
283;Olle Baertling;Swedish, 1911–1981;Swedish;male;1911;1981
495;Hagbard Elis Bergh;Swedish, 1881–1954;Swedish;male;1881;1954
496;Håkan Bergkvist;Swedish, born 1946;Swedish;male;1946;0
626;Bengt Böckman;Swedish, born 1936;Swedish;male;1936;0
759;Carl-Arne Breger;Swedish, born 1923;Swedish;male;1923;0
763;Bjorn G. Breitholtz;Swedish;Swedish;male;0;0
862;Torun Bülow-Hübe;Swedish, born 1929;Swedish;female;1929;0
1346;Gunnar Cyrén;Swedish, born 1931;Swedish;male;1931;0
1501;Co Derr;Swedish, born The Netherlands. 1921–2011;Swedish;male;1921;2011
1746;Erling Ericsson;Swedish;Swedish;male;0;0
1790;Öyvind Fahlström;Swedish, born Brazil. 1928–1976;Swedish;male;1928;1976
1945;Jan Forsberg;Swedish, 1932–2018;Swedish;male;1932;2018
1971;Josef Frank;Swedish, born Austria. 1885–1967;Swedish;male;1885;1967
1995;Peter Freudenthal;Swedish, born 1938;Swedish;male;1938;0
2093;Simon Gate;Swedish, 1883–1945;Swedish;male;1883;1945
2482;Hans Hammarskiold;Swedish, 1925–2012;Swedish;male;1925;2012
2567;Caroline Hebbe-Hammarskiold;Swedish, 1930–2018;Swedish;female;1930;2018
2614;Helena Hernmarck;Swedish, born 1941;Swedish;female;1941;0
2655;Hans Himbert;Swedish, born 1951;Swedish;male;1951;0
2940;Sven Jonson;Swedish, 1902–1981;Swedish;male;1902;1981
2950;Sven-Eric Juhlin;Swedish, born 1940;Swedish;male;1940;0
3056;Roland Kempe;Swedish;Swedish;male;0;0
3156;Berndt Klyvare;Swedish;Swedish;male;0;0
3358;Nils Landberg;Swedish, 1907–1991;Swedish;male;1907;1991
3363;Bengt Landin;Swedish, born 1933;Swedish;male;1933;0
3555;Stig Lindberg;Swedish, 1916–1982;Swedish;male;1916;1982
3637;Evert Lundquist;Swedish, 1904–1994;Swedish;male;1904;1994
3830;Bruno Mathsson;Swedish, 1907–1988;Swedish;male;1907;1988
3919;John Melin;Swedish, born 1921;Swedish;male;1921;0
4271;Netzler;Swedish;Swedish;;0;0
4307;Key L. Nilson;Swedish, 1938–2002;Swedish;male;1938;2002
4404;Axel Olson;Swedish;Swedish;male;0;0
4405;Eric H. Olson;Swedish, 1909–1986;Swedish;male;1909;1986
4406;Lennart Olson;Swedish, 1925–2010;Swedish;male;1925;2010
4432;Orrby;Swedish;Swedish;;0;0
4442;Anders Osterlin;Swedish, born 1926;Swedish;male;1926;0
4478;Sven Palmqvist;Swedish, 1906–1984;Swedish;male;1906;1984
4878;Carl Fredrik Reuterswärd;Swedish, 1934–2016;Swedish;male;1934;2016
5203;Philip von Schantz;Swedish, born 1928;Swedish;male;1928;0
5462;Birgit Skiöld;Swedish, 1923–1982;Swedish;female;1923;1982
5593;Carl-Harry Stålhane;Swedish, 1920–1990;Swedish;male;1920;1990
5694;Gerda Strömberg;Swedish, died 1960;Swedish;female;0;1960
5732;Britt-Louise Sundell;Swedish, born 1928;Swedish;female;1928;0
5747;Max Walter Svanberg;Swedish, born 1912;Swedish;male;1912;0
5748;Peter Svannäs;Swedish;Swedish;male;0;0
5779;Tägtström;Swedish;Swedish;;0;0
5847;Pär G. Thelander;Swedish, born 1936;Swedish;male;1936;0
5867;Esias Thoren;Swedish, 1901–1981;Swedish;male;1901;1981
5893;Hans Tollin;Swedish, born 1947;Swedish;male;1947;0
6003;Ulla af Ugglas;Swedish, born 1916;Swedish;female;1916;0
6018;Unidentified Designer;Swedish;Swedish;;0;0
6206;Len Waernberg;Swedish, born 1926;Swedish;;1926;0
6331;Bengt Westrell;Swedish, born 1927;Swedish;;1927;0
6394;Sven Wingquist;Swedish, 1876–1953;Swedish;male;1876;1953
6401;Rolf Winquist;Swedish, 1910–1968;Swedish;male;1910;1968
6499;George Ygfors;Swedish, born 1926;Swedish;male;1926;0
6584;Anders Zorn;Swedish, 1860–1920;Swedish;male;1860;1920
6935;Maria Benktzon;Swedish, born 1946;Swedish;female;1946;0
7148;Eric Randmark;Swedish;Swedish;male;0;0
7218;Bengt Palmgren;Swedish, born 1944;Swedish;male;1944;0
7342;Sven Markelius;Swedish, 1889–1972;Swedish;male;1889;1972
7346;Astrid Sampe;Swedish, 1909–2002;Swedish;female;1909;2002
7355;Sigurd Persson;Swedish, 1914–2003;Swedish;male;1914;2003
7449;Thomas Eriksson;Swedish, born 1959;Swedish;male;1959;0
7660;Christer Strömholm;Swedish, 1918–2002;Swedish;male;1918;2002
8021;Per Jari;Swedish, born 1951;Swedish;;1951;0
8022;Jan Ohrn;Swedish, born 1943;Swedish;;1943;0
8315;Greta Knutson;Swedish, 1899–1983;Swedish;female;1899;1983
8404;Jöran Lindvall;Swedish;Swedish;;0;0
8452;Jockum Nordström;Swedish, born 1963;Swedish;male;1963;0
8454;Mikael Björnstjerna;Swedish, born 1945;Swedish;male;1945;0
8675;L.M. Ericsson Telephone Company, Sweden;est. 1876;Swedish;;1876;0
8676;Hugo Blomberg;Swedish, born 1897;Swedish;male;1897;0
8677;Ralph Lysell;Swedish, born 1907;Swedish;male;1907;0
8678;Hans Gösta Thames;Swedish, born 1916;Swedish;male;1916;0
8697;Ergonomi Design Gruppen (now Veryday);Sweden, est. 1969;Swedish;;1969;0
8708;Ernst Lieser;Swedish, born 1940;Swedish;male;1940;0
9081;AB Gustavsberg Fabriker, Sweden;;Swedish;;0;0
9693;Karlsson & Nilsson, Sweden;;Swedish;;0;0
9784;Alsterfors, Sweden;;Swedish;;0;0
9833;RFSU Rehab, Stockholm, Sweden;;Swedish;;0;0
9941;Nybro, Sweden;;Swedish;;0;0
10243;AB Strömbergshyttan, Hovmantorp, Sweden;;Swedish;;0;0
10287;AB Rörstrands Porslinsfabriker, Lidköping, Sweden;;Swedish;;0;0
11055;AB Bahco Verktyg, Enkoping, Sweden;;Swedish;;0;0
13727;Billy Klüver;Swedish, 1927–2004;Swedish;male;1927;2004
23350;AB Gustavsberg, Sweden;;Swedish;;0;0
23881;Viola Gråsten;Swedish, born Finland. 1910–1994;Swedish;female;1910;1994
24452;Sigurd Lewerentz;Swedish;Swedish;male;0;0
24770;Miriam Bäckström;Swedish, born 1967;Swedish;female;1967;0
26807;Odelberg & Olson AB;Swedish, established 1884;Swedish;;1884;0
26871;Lars Tunbjörk;Swedish, 1956–2015;Swedish;male;1956;2015
27049;Ruben Rausing;Swedish, 1895–1983;Swedish;male;1895;1983
27050;Erik Wallenberg;Swedish, 1915–1999;Swedish;male;1915;1999
28078;NOAQ Flood Protection AB;Sweden, est. 2001;Swedish;;2001;0
29177;Sture Johannesson;Swedish, born 1935;Swedish;male;1935;0
29234;Sigurd Melin;Swedish, born 1952;Swedish;male;1952;0
29235;Anders Mohss;Swedish, born 1958;Swedish;;1958;0
29566;OFFECCT;Sweden, est. 1990;Swedish;;1990;0
30445;Anders Petersen;Swedish, born 1944;Swedish;male;1944;0
30965;Reed Kram;Swedish, born 1971;Swedish;male;1971;0
31375;Johanna Billing;Swedish, born 1973;Swedish;female;1973;0
32031;Mamma Andersson;Swedish, born 1962;Swedish;female;1962;0
35986;Klara Liden;Swedish, born 1979;Swedish;female;1979;0
36939;Bengt af Klintberg;Swedish, born 1938;Swedish;male;1938;0
37554;Sophie Tottie;Swedish, born 1964;Swedish;female;1964;0
39923;Hans Ehrich;Swedish, born 1942;Swedish;male;1942;0
39924;Tom Ahlström;Swedish, born 1943;Swedish;male;1943;0
39925;A&E Design;Swedish, est. 1968;Swedish;;1968;0
39996;Karl Holmqvist;Swedish, born 1964;Swedish;;1964;0
40658;Emily Sundblad;Swedish, born 1977;Swedish;female;1977;0
41191;Jens S Jensen;Swedish, 1946–2015;Swedish;male;1946;2015
42454;Nathalie Djurberg;Swedish, born 1978;Swedish;female;1978;0
42749;Annee Olofsson;Swedish, born 1966;Swedish;female;1966;0
43688;"Markus Notch Persson";Swedish, born 1979;Swedish;male;1979;0
48037;Frederik Ljungström;Swedish, 1875–1964;Swedish;male;1875;1964
48422;Sven-Åke Johansson;Swedish, born 1943;Swedish;;1943;0
48852;A B Norna Hemslojd;;Swedish;;0;0
49237;Better Shelter, Sweden;Swedish, est. 2010;Swedish;;2010;0
49568;GOLDIN+SENNEBY;Swedish, est. 2004;Swedish;;2004;0
69820;Henning Lundkvist;Swedish, born 1981;Swedish;;1981;0
71905;Hilma af Klint;Swedish, 1862–1944;Swedish;female;1862;1944
75256;Hans Berg;Swedish, born 1978;Swedish;male;1978;0
131905;Arne Arnbom;Swedish, 1922–1975;Swedish;male;1922;1975
137031;Lou Laurin Lam;Swede, 1934–2012;Swedish;female;1934;2012
138111;Ulla Wiggen;Swedish, born 1942;Swedish;female;1942;0



